"rownames(pathway)"	"Kruskal_test"	"Dunn_AD-AP"	"Dunn_AD-CON"	"Dunn_AP-CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"lipid IVA biosynthesis"	0.244300384912602	0.281045372025425	1	1	2100.00493158271	915.983605992578	2741.85128664677	792.365419435035	2398.48183303909	666.075718992104	2040.02020257052	2238.77701761946	3825.76790902274	1232.51296797474	1666.36568908085	1596.58580322793	2140.3321082539	2410.36084203427	3699.14001139814	3813.3471585544	2157.65229858088	2230.27530105903	1818.14228139607	2777.49720254553	2617.47495638173	2061.75438145536	1684.62825682258	3431.39391963329
"methylerythritol phosphate pathway I"	0.89483931681437	0.0331163269473501	0.0386047165789557	1	6936.79909626453	3530.54495268798	6135.63808017392	2152.15537022191	5812.13225617696	1927.35344959911	10211.1981775945	10194.0776690624	10054.3640595185	3773.67205648228	4034.88178969357	3352.60082523599	4456.82214504251	5834.14517604503	9828.76708933409	7070.52352263713	3755.57563597437	5867.99491201037	7440.00352205267	4451.65798750572	7239.30897680492	5369.57614504922	2834.9388410513	7537.30806459796
"pentose phosphate pathway (non-oxidative branch)"	0.65252842024987	0.529274546425124	1	1	15494.2566252934	7134.71273284414	13501.9783676877	4744.75852686288	11652.29444446	3864.09558530914	21965.3423097941	23359.0063897775	20379.8335614781	10566.2222537335	8840.86155738868	7854.27367958831	12282.0630637151	14535.283069676	20742.8233360594	15109.5703226226	6214.72032903692	12127.4100850162	15034.9967822863	6726.71493867917	15201.2227275383	11215.7323981047	7336.61246085055	14398.4873593008
"O-antigen building blocks biosynthesis (E. coli)"	0.160347914841051	1	1	1	12427.5589302057	3833.76265179794	13328.3117278296	2226.46942941703	10452.1276008515	1776.89425885413	12819.3614179641	15347.3422974832	18069.3453190747	10170.4934239598	7426.275812863	10732.5353098894	13397.4693111677	12516.4228981229	15668.985786282	14229.7081252064	14790.4003721343	9366.8838740644	8581.05185408547	8771.05200567608	11337.7776968042	10716.5001799838	9961.97249112794	13344.4113774314
"superpathway of L-arginine and L-ornithine degradation"	0.120314388400899	0.224117799936391	0.224117799936391	1	3.2331077975375	5.15712239024667	0	0	0	0	7.75719513037744	11.6414516548476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"superpathway of ornithine degradation"	0.120314388400899	0.224117799936391	0.224117799936391	1	2.7749296504042	4.42662831050837	0	0	0	0	6.65560109170392	9.99397681072128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TCA cycle IV (2-oxoglutarate decarboxylase)"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	56.3861762248247	70.8401510609113	0	0	0	0	49.4809953380589	146.22578770663	0	0	0	142.61027430426	0	0	0	0	0	0	0	0	0	0	0	0
"pyruvate fermentation to propanoate I"	0.14774304423285	0.768434899810579	1	0.154727590862631	3305.08346005393	1288.50250623594	4072.70267191125	1057.11323868205	2910.65154339711	834.646368480147	3601.5527349773	3963.87476759149	5413.15559677653	1933.34636176896	2566.3250168062	2352.24628240309	3001.8294597184	3970.66466611716	5374.53725769352	5264.49178045391	2941.71626300921	3882.97660447528	1901.09943229398	3471.21944463745	3595.45729409485	2462.59999429995	2163.09475166312	3870.43834339335
"heterolactic fermentation"	0.65252842024987	1	1	1	12044.7503665	2990.19281657881	13591.5779331194	2340.44131876932	13796.2075348995	5285.74762861043	11367.8088406891	14715.0983667273	15986.9248700236	10770.1024913935	7582.42530504763	11846.1423251188	13631.9789373405	13329.4208313163	14726.6276886151	13553.0187211335	16735.1019616541	9573.31945865678	8583.47855956497	19361.8820366997	10116.7944289964	11166.3758620388	12118.526509404	21430.1878126932
"Bifidobacterium shunt"	0.737791830067178	1	1	1	13872.6667840552	3409.86083553337	15602.6181889635	2466.75906935592	16517.5590186403	6392.77075707504	14037.8555903485	17584.646840207	17635.8883403397	12011.998539394	8746.38508514534	13219.2263088969	15253.2263425251	15480.3653837603	17137.9368194115	15373.2062215897	18895.5849865993	11475.3893798951	10982.1900311526	23409.6843274456	11806.2861368603	13119.7319019878	13992.1423077278	25795.3194066674
"superpathway of (R,R)-butanediol biosynthesis"	0.0814776444506305	0.134929824620489	1	0.118465781769756	19.4820859019486	19.3300346353694	178.27070693135	258.798557072201	12.2421669873219	11.7779229998698	0	47.9532474203522	0	10.4967346646075	25.4728674071135	32.9696659196185	297.687509438913	658.037773061205	38.9649781270701	41.9559531914551	8.99819702794754	23.979830741507	29.9683312666031	20.9926284718612	2.99948016233736	14.9928545985674	0	4.49970742456244
"acetylene degradation"	0.796068393426591	1	0.76843489981058	1	15915.7237679512	3833.73207508304	17163.7545291329	2901.36878045669	18273.9255765104	7736.12445459502	18223.1385990282	20121.7816996403	18218.8508620064	13975.7570626205	9497.43113433639	15457.3832500754	16786.0026422627	16804.6231135427	19127.5030881856	16293.1856188102	21294.919524321	12676.2931876754	12578.357219712	26552.6614386208	11860.5947898796	13731.3152657695	15338.3971639245	29582.2275811557
"L-glutamate degradation V (via hydroxyglutarate)"	0.441271154344074	0.23608624863044	0.478598052603902	1	54.4677217586029	78.6822067302137	117.75844611476	99.240768544286	130.479340518457	112.034619925842	210.892379254947	7.93323706729565	36.1935183673097	48.7318448180422	23.055351044023	0	179.053641772127	271.967574489161	103.885562998912	16.82067192696	11.4848927587087	123.338332742689	224.69394491972	21.0970462447063	287.507252242332	115.555354105248	0	134.022445598738
"L-lysine fermentation to acetate and butanoate"	0.288803390400028	0.189600125110335	0.339186478334082	1	88.5692202242914	59.6166228805048	65.1564890997305	120.872797189793	143.111877656117	113.657462364662	89.6311103476137	69.1698473846454	189.630667720809	34.5887587385599	118.088495325432	30.306441828688	0	0	300.604496287595	0	0	90.3344383107881	177.852951042367	190.658674826733	289.070401685307	11.9059977973824	0	189.183240584912
"purine nucleobases degradation I (anaerobic)"	0.630029708667343	1	1	1	1943.23599871305	1941.08723480161	1076.43128214498	773.368565450052	1034.27748991516	896.975161985193	5647.04010394984	2328.68300255755	1056.41093046743	1535.76118314839	784.500223554488	307.020548600629	278.526655661088	864.405927765044	2150.59217084747	1206.87799439422	231.061557355279	1727.12338684678	1245.4533064964	222.415282648103	2449.95957972454	554.348515525003	149.63734257272	1583.85091252422
"reductive TCA cycle I"	0.128396572892949	0.991170146546383	1	0.432876166320316	2644.62467543919	2068.04603480439	4033.62326364543	1340.55938593778	2705.94131080595	952.671409538373	871.746169979765	1148.41368012822	6619.62415290709	2290.63484845354	2383.59717622118	2553.73202494531	3515.34317584162	3443.77970643873	5793.08123500407	5647.28299774538	2672.78599674413	3129.46647009865	1930.84342137416	1824.47522622786	3714.66591272333	2857.53460728035	1954.93499200908	3953.19370522094
"glycolysis V (Pyrococcus)"	0.25629322304386	1	1	1	429.007839349018	526.893600446978	72.0202289341572	92.3099445076906	137.033890180426	152.122004178378	758.438938788011	1354.48351802067	159.381354648298	74.7514414664792	226.991783170648	0	32.4612037410784	26.2253578372368	153.110628640717	0	0	220.324183385911	254.19755673765	0	379.371111305419	62.3416798160729	0	126.292993223412
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	0.181299967735863	1	1	1	2878.78588436126	1779.79686154652	3678.72941114218	1457.31279402845	4435.20380417282	1669.45953309637	863.016723462785	4518.02286179032	5576.02987306538	2190.07742365152	2004.4780077545	2121.09041644307	2895.96190383503	2847.56885112659	6278.52232460377	4556.39763138322	2904.51859622661	2589.40715967785	4926.27994238794	2932.80287136314	5057.19221030805	4833.5157351057	2097.09769707557	6764.33436879655
"incomplete reductive TCA cycle"	0.399265505939914	0.250696949500726	1	0.529274546425124	5933.52054279879	2409.28403675624	6645.93331518219	1502.61916983805	5335.70855133513	1536.80968643996	6323.99052992081	7110.73816720922	10017.7800281223	3770.24592805704	4328.08940748935	4050.27919599405	5451.92393127523	6174.85289862239	8692.59540411895	8371.68048969299	5235.67857254598	5948.86859483761	3691.20875509876	5851.89875488127	5962.82493751785	4690.46176639702	3989.1228989082	7828.73419520767
"superpathway of N-acetylneuraminate degradation"	0.52865094692867	1	1	1	11462.2964476314	3480.89222727866	11245.5961511117	2108.60256077371	9503.22340437212	3329.96501704242	13039.5013898434	13794.5416472308	16306.5514958341	9439.12934273543	6991.12803694026	9202.9267732045	9931.82891964581	10529.0437006321	14785.5710578735	11465.8154098804	12100.4612695964	8660.856549042	7312.33270364494	5432.64689668596	10014.2497419236	10703.1520577208	8460.40910289736	15096.54992336
"hexitol fermentation to lactate, formate, ethanol and acetate"	0.777663017338089	1	1	1	4921.31470456882	1022.32709714526	5338.83043884607	1036.8844636692	4715.16287916255	1910.37398462599	5913.39442084851	6138.10154294786	3987.58945831227	5026.46679507181	3550.92306279156	4911.41294744093	5284.24868509045	5352.32321430217	6815.11866735415	4167.4020928644	6151.9388713163	4261.95110214896	3217.0631294618	1879.21579736943	5583.59164842454	6332.73950570147	4438.68498166859	6839.68221234944
"myo-inositol degradation I"	0.334663468830354	1	1	1	79.4300710804716	83.0663253501304	54.7624186643873	60.2021056524624	13.1840469018602	14.4030678181037	222.666212431503	119.776546786526	69.1453874871194	60.2012210308537	0	4.79105874682748	97.2068296188541	31.2663444125547	153.285891667168	0	0	46.8154462877476	38.1348122866894	6.58848715509039	22.3775819035107	8.20253164556962	0	3.80086842030088
"phosphopantothenate biosynthesis I"	0.71653131057379	1	1	1	4586.33701785035	1921.06755662026	4857.84890306825	1725.58799482363	4171.15128816825	1133.13807668261	6291.10259683079	6478.5310253267	6195.15301443262	2478.08496784519	2777.2511185399	3297.89938412688	3798.83427612575	4083.88220373527	7934.22335057088	5895.57687608516	3605.44606271335	3829.13064917911	5025.18731966547	3480.75873305874	4824.55850072385	3715.33278828882	2488.19797392935	5492.87241334329
"pantothenate and coenzyme A biosynthesis I"	0.884434326401331	1	1	1	5904.34110258394	2362.59805201117	6237.10235416626	1928.33667818129	5656.54776469893	1472.87836214352	7803.03120955762	8365.23208711863	7933.68589701461	3369.76359240033	3604.32977459309	4350.00405481937	4942.74046377953	5481.53506856611	9622.37646350341	7483.24067095084	4921.99158394531	4970.72987425238	6472.28463814041	5172.75702380413	6108.69739762368	4840.56012971885	3542.1663109962	7802.82108791031
"pentose phosphate pathway"	0.959890875328063	1	0.281045372025425	1	7383.88098137211	3192.12985404162	7024.76783031252	2556.32777715604	6597.94014342495	2076.15303999608	10606.3063487005	11148.3805415394	8898.31845481255	4617.96433133069	4543.52672073265	4488.78949111691	5334.71471863304	6095.60048769381	11219.6595896062	8825.73441493514	4238.04371879771	6434.85405220923	7581.20048460691	5545.34409619414	7499.22215372105	5620.93724769517	3695.57909143211	9645.35778690031
"peptidoglycan biosynthesis I (meso-diaminopimelate containing)"	0.80543379654864	1	1	1	15324.6783120721	4435.17250212123	16352.6463893134	2480.62257339661	17101.7184788373	5637.94797700855	17077.9855720045	19984.2368295755	20150.617999265	12124.8559114725	9339.60517650923	13270.7683836056	15341.2633313656	15907.8749656605	19523.3525996675	16591.7615189773	18336.198360232	12415.4275599778	13316.8386302247	22574.031791651	13620.7072461846	13723.1705446513	13452.6674174895	25922.8952428225
"superpathway of phospholipid biosynthesis I (bacteria)"	0.80543379654864	1	1	1	15843.7322174303	4760.43151724069	16729.9869751223	2640.42334375433	17487.2610136252	5472.45107768459	18027.5060548448	21027.7601762084	20690.3729637769	12405.7656367301	9475.25167399514	13435.7367990267	15882.124635735	16098.153997339	20407.5452788381	17165.1082245555	18291.0828349763	12535.9068792899	14344.1013577432	22350.5888403784	14470.0697340567	13891.850207134	13522.2059865335	26344.7499559055
"superpathway of polyamine biosynthesis II"	0.449089200322142	1	1	1	197.317033177007	194.628208228693	257.369505764575	367.697175170298	83.6924152011201	121.834741042345	448.439249375513	414.343375777284	37.8939532303981	207.500007332986	75.7256133458595	0	15.8310821559066	210.592326996278	992.762371983295	131.779079700954	36.5235396263131	156.728634124703	52.5736450116537	12.6759493749312	327.539232351223	49.2975772034679	0	60.0680872654452
"superpathway of polyamine biosynthesis I"	0.173013446008472	1	0.991170146546383	0.583097732409327	710.255878950905	485.099393614326	1084.36426954761	382.979623561462	750.546656547778	257.600715052754	1492.4397334038	1135.74926252658	525.96554246967	363.325159577635	389.784074433543	354.271501294202	898.52178875956	1098.96510589281	1441.38708581398	1228.51387368228	421.430614477217	1417.36714865982	871.693141652557	782.235986650315	712.772081394035	745.074894571949	302.910873368263	1088.59296164955
"polyisoprenoid biosynthesis (E. coli)"	0.71653131057379	1	1	1	12141.0678674479	3145.91584312905	13462.6813748717	2143.23570274317	14055.6232507083	5187.44470855123	12198.323132741	15435.4852852597	15876.70215003	10354.7579198397	7562.96504772914	11418.1736690876	13197.5269036843	13292.5990630901	15082.6851754623	13504.4616213189	15971.0815328717	9727.73395280302	9605.41059294288	19461.2206180126	10447.6214006112	11244.1361525713	11804.0681019379	21771.2826381741
"ppGpp biosynthesis"	0.0209525048603063	0.154727590862631	0.991170146546383	0.991170146546383	506.757036535131	466.22864089802	860.273296675031	649.64204258553	1774.33729793526	698.145455627996	8.32338654247021	592.398695196829	1370.88479326751	265.218314327813	357.08130601783	446.635723858336	799.549513498648	238.436938987957	1698.94783812303	1331.60264403238	1093.10284540817	0	1957.92313927809	1119.62023331174	1891.68389771526	1830.9336360072	944.784370481199	2901.07851081807
"superpathway of histidine, purine, and pyrimidine biosynthesis"	0.52865094692867	1	1	1	6947.51414954468	2411.19089196038	8441.39542567002	1721.4910865916	9087.6611301909	3078.64102432401	9374.76879937164	9250.2778713035	8399.53356060094	3631.54258592146	4938.40546892244	6090.55661114811	6582.61054398362	7633.81973942304	11241.6039201685	9369.89153622436	8759.587290876	7060.85952334464	7782.15911332288	12086.1792920041	6991.12741075906	7646.87432164058	6233.39593830005	13786.2307051187
"CMP-3-deoxy-D-manno-octulosonate biosynthesis I"	0.37220738497041	0.479244551012931	1	1	2008.38492908248	850.168645377491	2596.38782019152	746.234100256096	2291.49455630472	618.179691104179	2053.66345977006	2169.39984845624	3576.51192168708	1193.84616509977	1565.69725612541	1491.19092335633	2015.5677850953	2296.9806091938	3526.75678462386	3573.92971198696	2018.95077436036	2146.14125588882	1764.65238164696	2611.71997021832	2540.16391593583	2013.3639397386	1583.83260406713	3235.2345262215
"photorespiration"	0.530361255121713	1	0.699681699366695	0.248783868429675	120.007964467852	152.942144096254	85.0449754510265	75.076742891852	158.795696496723	139.557600259401	0	0	248.102286423897	366.271133287861	20.6258277949352	85.048539300419	15.844058557238	123.867158519003	100.45809178721	0	66.4376401968943	203.662903645814	133.131012955721	49.1633735970314	406.839960416911	36.8433129795844	99.1215574250216	227.674961606067
"formaldehyde assimilation II (RuMP Cycle)"	0.12110333239233	1	1	1	1125.30791739364	1040.97780549683	261.000210527257	227.012231715262	612.435984802839	560.670607789515	2224.07500568825	2641.32179160711	607.093795558819	435.745983889507	720.731738960487	122.879188657649	172.649614773808	265.24376409448	491.896706720781	0	71.2325638101239	564.978613764351	572.997260859202	37.8320712207064	1347.46729795922	1233.50154055015	102.274249525382	380.543488702375
"L-lysine biosynthesis II"	0.519457251173505	0.702582914637643	1	0.11969362560421	10179.0870927661	2859.23831644794	10634.2758221641	2743.48984293253	13702.6833713837	5862.25057893825	11649.4727446945	12415.2672680916	13658.1508271103	7685.10794911949	6352.7088197971	9313.81494778376	8165.75954529366	9614.59203464	12510.1463678631	8815.11801473302	15332.0135234855	9368.02544696954	10118.6745395094	19848.7722151549	10244.2284022338	10829.7710939629	8735.60884606838	22439.0451313727
"L-lysine biosynthesis III"	0.587332756844842	1	1	1	12823.088671546	4378.09848777126	12868.275991341	2901.55541890926	15588.2282769021	5870.25303682421	16463.109232947	16618.1930179949	17163.6400773369	8763.90608598796	7720.51916881987	10209.1644461895	9477.68462199885	11568.955451365	16698.2996171834	11616.6475977844	16209.4084345484	11638.6602251659	13188.2167648162	21025.1152752165	12995.7044813113	12272.6247486485	9436.26208271554	24611.4463087047
"superpathway of L-isoleucine biosynthesis I"	0.948729480016436	0.104865217930892	0.583097732409327	1	9118.81518425689	3676.48146902796	8455.08505363589	2364.37307798233	9287.39697450527	3400.7357039753	12510.6232789106	12749.712577763	12149.9375358985	5803.75191416299	5672.03532488735	5826.83047391886	6013.95639510376	7962.96454597826	12789.2689805713	8574.1897625735	6747.5917574269	8642.53888016164	10686.2449728958	8875.08615946718	8539.06488491363	7900.76484863901	4735.40093486136	14987.8200462546
"aerobic respiration I (cytochrome c)"	0.0106322903473877	0.11969362560421	0.702582914637643	1	1045.84009713413	687.116074386161	2968.55320202433	1143.74843896796	2249.16101340305	838.149712422993	123.062854881196	446.003298387236	1267.20610344091	1066.07582884447	1312.57371039816	2060.11878685281	2418.05789949558	3570.78922996985	4731.52394431595	3276.38288237384	2365.35125487712	1449.21400111366	1777.0926126428	3012.03623846015	1691.35970794045	1615.19556468438	1808.36979795235	3590.91215873817
"urea cycle"	0.063648089832742	0.991170146546383	1	1	1621.87926240874	1556.26786838228	3618.31711898246	889.620460090821	3671.67421773494	1459.08543681026	273.981709517228	571.557421431925	4603.88786467103	1193.94156231752	1317.90729326358	1769.99972325113	3637.89165979108	2818.14861819297	4173.70405339457	4391.23083439899	4407.62614531491	2281.30140280224	2423.55852264123	2421.00451851022	6160.01956805923	4111.01366976786	2734.0976275608	4180.35139987029
"biotin biosynthesis II"	0.586038610844014	1	1	1	47.1870449871023	66.1742643607033	30.5308242058744	31.2618125383057	50.7886339268682	46.2395244716174	0	0	81.6417261925092	166.533579560233	6.39603028165638	28.5509338882155	4.79484640532294	40.4340570143354	31.0648799886963	0	20.707976768608	86.1831850582839	41.1435176897459	15.1459462779718	134.294398388272	11.1784948198088	31.6870747484323	71.2823716369789
"4-aminobutanoate degradation V"	0.195620455746494	1	1	1	139.329169834741	149.379711447851	348.947719879631	303.970150210281	401.14124091114	219.106310537195	422.541893084192	15.8812189661432	74.6952113578525	180.388945038154	49.0386531788092	93.4290973832969	404.317069065246	576.147384202331	792.411478723005	34.7299068300507	26.6033710696489	259.477109387507	543.576025693503	264.351328501233	642.108893212646	361.094154443535	52.87392044283	542.843123173095
"L-glutamate degradation VIII (to propanoate)"	0.36787944117144	0.66201408575954	0.66201408575954	1	1.95293660104111	4.78369817255604	0	0	0	0	11.7176196062467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L-lysine biosynthesis VI"	0.587332756844842	0.9126931589997	1	1	12805.6258792065	4384.69011267188	12768.9598937979	2889.19791136403	15528.6587873868	5850.11823749069	16517.6901501974	16655.6504947002	17049.8620430986	8749.77117067009	7700.14013677288	10160.6412797997	9417.70246185832	11457.9185699762	16540.3863247062	11510.4103381778	16153.427921849	11533.9137462199	13143.4211029993	20960.8337109318	12960.002025708	12201.1462874648	9397.08080967525	24509.4687875416
"pyruvate fermentation to acetate and lactate II"	0.97687965476273	1	1	1	20037.2484049889	6088.09329032545	20573.9796957352	3130.30244804524	21037.1874351276	6793.70323398784	21509.2862563983	26379.3593116755	27354.6991771922	15934.5122538962	12100.040423388	16945.5930073834	19421.6847806331	20086.3995367803	24272.0888051054	20363.8373304791	23649.9686661467	15649.8990552666	15670.033347326	27184.3067027029	16735.4770712749	17668.9847551513	17045.9860151041	31918.3367192064
"L-isoleucine biosynthesis II"	0.910676771022518	0.390026848402681	1	1	9385.84923968761	5100.72497577345	7881.30898131657	3340.69719628955	8184.04872597171	3381.30951679037	15355.6444225203	15011.7207219829	11134.926290391	5074.54022515969	5287.44082553865	4450.82295253313	4998.38468099462	7083.44605076754	13831.9010192986	8245.56924758685	4584.11603954869	8544.4368497031	11703.1900873582	5907.0865224003	9308.61870430642	6784.32424414732	3463.44406788532	11937.6287297327
"L-isoleucine biosynthesis III"	0.89483931681437	1	0.350545106806722	0.9126931589997	7417.97482064424	3959.84120466026	6337.59098841134	2528.83122533268	6554.83233509425	2501.83359110981	11841.4025683418	11504.4672945423	9511.41156756216	3905.55456695608	4243.52725348854	3501.48567297458	4144.89962121053	5802.97452391278	10819.3161392296	6880.60951279942	3799.37829114464	6578.36784217106	9121.83092326725	4919.70683281826	7624.38103403854	5607.53860584566	2910.40992074121	9145.12669385456
"L-isoleucine biosynthesis IV"	0.926794526901683	0.350545106806721	1	1	8930.00091960491	4950.00919962893	7502.19446596168	3240.27073625907	8068.3310952555	3415.01772258462	14649.2773305592	14280.733105679	10908.2102327483	4711.291922572	5005.94304862358	4024.54987744743	4868.83915394318	6625.95499608297	13428.9884443919	7787.64814405803	4428.38733675108	7873.34872054292	11561.5637258778	5668.52389932487	9084.30127392645	6757.51094112172	3351.59764067376	11986.4890906084
"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"	0.932230256390905	0.154727590862631	0.0283324970634979	1	8001.03369787445	3746.07676738467	7308.55814356906	2246.27107162074	6946.56308205299	2068.46722367854	11061.0194308232	11612.5339253176	11563.2430941251	4737.0795183358	4768.77986475571	4263.54635388928	5585.41910812125	7083.03796156605	11176.6831993443	8343.61183238376	4879.90972543763	6782.68703456135	8166.62850019429	5836.3235143461	8111.90648277376	6432.69373849866	3671.11468652897	9460.71156997616
"L-arginine biosynthesis III (via N-acetyl-L-citrulline)"	0.263597138115727	1	0.991170146546382	0.314272469549192	3394.70268012232	1289.28982829061	3864.10312156029	973.023875905675	2762.0356856004	828.031079856597	4044.64803233434	3766.67190371264	5494.28695105737	2114.77787963239	2538.69278619799	2409.13852779921	2968.36867446733	3550.40807290372	5199.44811343633	4887.73878990122	2876.1554423382	3702.49963631493	1718.79090898232	3458.30841734051	3181.22764267469	2281.57460232999	2139.98232188598	3792.33022038892
"glutaryl-CoA degradation"	0.05156499229167	0.838456104753379	1	1	107.24158833795	65.7103425677901	337.845541917702	201.390169705023	127.009772562381	98.4090455997026	81.0272397362354	73.0768313880726	115.455851690797	167.053735948078	193.029919059789	13.8059522047275	247.537262519528	526.957616514468	623.939270326244	289.323421677242	74.5452317101508	264.770448758578	150.050598698141	67.884779609801	153.922782665106	48.6983863418114	40.9213944214153	300.58069363801
"tetrapyrrole biosynthesis I (from glutamate)"	0.926794526901683	1	1	1	3092.35859766982	1896.13424754236	2633.53686042486	1109.41444216974	2686.6062878407	1099.28310459522	3880.6531477515	4594.32258080051	5731.71819117493	1528.85677942714	1516.9917119716	1301.60917489323	2132.6398280089	2284.16450964802	4779.19186878783	2838.48258012497	1953.04152158606	1813.70085439337	3673.86850519619	1407.78766583633	3704.0815527321	2702.90579467305	1285.67009804463	3345.32411056192
"tetrapyrrole biosynthesis II (from glycine)"	0.926794526901683	1	1	1	3002.48622225583	1863.18993699292	2480.22838898543	1069.68505919775	2540.55471579451	1072.43321156205	3845.45602371928	4484.38491864923	5552.71114814728	1447.77389604985	1435.88778761187	1248.70355935748	2021.42161256922	2122.81067039765	4554.77186057204	2658.82953767776	1848.02618593652	1675.51046675938	3505.33304772332	1266.80086654107	3544.01230976877	2533.20243135743	1208.48994781292	3185.48969156355
"peptidoglycan biosynthesis II (staphylococci)"	0.0203795988617734	1	0.147527906316109	0.0992712022787683	185.301325382508	58.3521514301102	186.37687040381	214.125222373661	29.8255770319129	60.075777609947	69.4110338721243	210.15455015656	224.186359409708	209.186423324868	215.160120409765	183.709465122025	358.856808419244	531.009014422634	45.2342312198863	0	27.9521455965984	155.2090227645	150.183875377776	0	0	0	0	28.769586813701
"superpathway of sulfur oxidation (Acidianus ambivalens)"	0.240051790590006	0.640832680884436	1	1	110.08	117.446678965393	202.113333333333	111.625879914412	122.05	85.4382881382814	5.34	2	209.32	293.32	90.5	60	165.5	185	412.5	191	76	182.68	110.66	75	273.32	40	69.32	164
"superpathway of L-methionine biosynthesis (by sulfhydrylation)"	0.0394028106607639	1	0.390026848402681	0.640832680884436	601.293230068285	237.233388805241	1161.85166737618	518.265395005292	833.006262657968	422.356306402777	194.431530589919	796.784676464986	489.984510908261	571.43284640556	744.232865272882	810.892950768103	860.809009529337	1045.37598697828	2179.58185873697	1195.56426074397	822.975418391227	866.803469877298	526.403389715395	1270.91976327225	1166.29547407095	256.663747991039	609.007017282455	1168.74818361572
"superpathway of L-methionine biosynthesis (transsulfuration)"	0.0453399266599237	1	0.223058716105691	0.583097732409327	1706.377464807	1113.54720575553	2522.69761088933	1052.01489183097	3559.60019535184	1273.67816805033	396.724500122156	2658.46489427003	3424.914110853	1282.4419960152	1182.3251803551	1293.39410722652	2008.21701393983	1714.67097469086	4192.10224274141	3380.27013954823	2349.62634791327	1491.29894650238	4091.84744058751	2439.03348646846	3889.74237643199	3611.9021393183	1868.18536038679	5456.890368918
"sucrose degradation IV (sucrose phosphorylase)"	0.00812454544894912	1	0.197962116588441	0.0798639264301622	5042.38629860269	2516.06167614499	4874.96963201951	1429.29629543918	1720.33905555681	1382.53217031661	4275.27469266427	4135.52211100218	9961.47773756332	4063.22197208465	2787.25248026505	5031.56879803671	4738.06419112987	3561.63156927001	6013.08238148644	5395.2356401612	6626.0572602991	2915.74674977043	510.336235630816	0	2445.82804243731	3845.54441728549	1969.08715413078	1551.23848385646
"catechol degradation to 2-oxopent-4-enoate II"	0.00854297548517708	0.0225649526920292	1	0.0225649526920292	0	0	2.76767790979319	3.37346154636581	0	0	0	0	0	0	0	0	2.18353545889694	8.46399074422345	0	5.06522205726979	0.893319198368985	0	0	0	0	0	0	0
"glycolysis II (from fructose 6-phosphate)"	0.948729480016436	1	1	1	14093.4771545255	4945.34458241237	13692.1420960944	2710.27641878659	12813.7070650285	3820.8817446661	16730.9267028173	19286.0407461552	19315.7583542382	10065.1332773367	8141.41648747217	11021.5873591336	11987.0090071951	12461.1644124933	18402.2513683174	13967.0323734598	14660.8785562772	10674.5168588239	12701.1010695077	12290.979466722	13216.3423802754	10853.2002316209	8152.74999437464	19667.8692476701
"L-glutamate and L-glutamine biosynthesis"	0.580503383582624	1	1	1	5721.91461504012	3774.60315061917	3322.65217293616	2341.13323774894	3827.9045120504	2626.08152781553	10049.0755564718	9695.57525268485	7404.37313392305	2696.4376229729	2759.8081470309	1726.21797715715	1651.70530858241	2770.34076108641	7620.6832937978	2917.64574316934	1025.53587854539	3950.00205243561	7395.7200631555	1033.77714948135	5384.35479890012	3317.51729827373	726.421537511574	5109.63622498011
"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"	0.630029708667343	1	1	0.281045372025425	3641.10632879325	2520.83528038866	2423.56584350357	1328.53351641265	2246.16685665617	1468.18289526772	6827.0284701509	5673.61356458051	5149.82430278201	1525.5551509135	1566.25266847927	1104.36381585331	1494.0398405559	2065.80642915859	4932.62942230812	2367.02115185279	1186.91766125154	2494.98055589449	4439.29684257425	754.790010090463	3061.53759240929	1782.52522925203	644.931522099191	2793.91994351182
"GDP-mannose biosynthesis"	0.365734377638967	0.0520440695739962	0.197962116588441	1	5560.6295089532	2553.34123919146	6990.34265615782	1721.9052989636	6273.56090365416	1687.81807540525	5688.78525993551	6104.00802297639	10290.5720946716	3469.54025322417	4081.11889021899	3729.75253269248	5845.65648847875	6844.76411982536	9451.33074330033	8677.89626860003	5059.15012311078	6063.25819363169	5484.68623756879	7011.96714927625	6835.5496130936	5774.27884891655	3766.35267486279	8768.53089820697
"CDP-diacylglycerol biosynthesis I"	0.853939665623534	1	1	1	16896.8742188355	5140.87639924759	17675.610685887	2819.65551057852	18340.5240665128	5737.54158904176	19550.4544504768	22661.4365934919	21796.5024637638	13062.3477897166	10130.9655797017	14179.5384358625	16392.7343939461	17180.0227121736	21944.3561465438	17897.7801587092	19139.9053019432	13498.8654020059	15193.9788376953	23487.4250481146	15142.7004332729	14476.3046711808	14154.3380679149	27588.397340898
